question,context,answer
Sposta la base,Muovi la base,"ecco, ora muovo la base"
Muovi la parte inferiore,Muovi la base,"ecco, ora muovo la base"
Fai oscillare la base,Muovi la base,"ecco, ora muovo la base"
Ruota la base,Muovi la base,"ecco, ora muovo la base"
Inclina la base,Muovi la base,"ecco, ora muovo la base"
Fai scorrere la base,Muovi la base,"ecco, ora muovo la base"
Solleva e abbassa la base,Muovi la base,"ecco, ora muovo la base"
Muovi la base lateralmente,Muovi la base,"ecco, ora muovo la base"
Gira la base a destra e sinistra,Muovi la base,"ecco, ora muovo la base"
Fai vibrare la base,Muovi la base,"ecco, ora muovo la base"
Spingi la base in avanti e indietro,Muovi la base,"ecco, ora muovo la base"
Regola la posizione della base,Muovi la base,"ecco, ora muovo la base"
Allinea diversamente la base,Muovi la base,"ecco, ora muovo la base"
Sposta leggermente la base,Muovi la base,"ecco, ora muovo la base"
Muovi la base con un movimento fluido,Muovi la base,"ecco, ora muovo la base"
Scuoti la base,Muovi la base,"ecco, ora muovo la base"
Fai ondeggiare la base,Muovi la base,"ecco, ora muovo la base"
Fai ruotare la base su se stessa,Muovi la base,"ecco, ora muovo la base"
Modifica l'orientamento della base,Muovi la base,"ecco, ora muovo la base"
Scuoti il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Gira il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Ruota il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Fai un movimento con il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Inclina il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Sposta il collo a destra e sinistra,Muovi il collo,"ecco, ora muovo solo il collo"
Fai oscillare il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Muovi il collo su e giù,Muovi il collo,"ecco, ora muovo solo il collo"
Scrolla il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Fai un cenno con il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Piega il collo da un lato,Muovi il collo,"ecco, ora muovo solo il collo"
Fai ruotare il collo lentamente,Muovi il collo,"ecco, ora muovo solo il collo"
Allunga e ritrai il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Muovi il collo in cerchio,Muovi il collo,"ecco, ora muovo solo il collo"
Distendi il collo con un movimento,Muovi il collo,"ecco, ora muovo solo il collo"
Inclina leggermente il collo,Muovi il collo,"ecco, ora muovo solo il collo"
Ruota il collo in entrambe le direzioni,Muovi il collo,"ecco, ora muovo solo il collo"
