Question,Context,Answer,index
Chi è Barack Obama?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Cosa sai di Barack Obama?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Parlami di Barack Obama.,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Chi è il presidente Obama?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Qual è la storia di Barack Obama?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Chi è Obama?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Come descriveresti Obama?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Qual è l'identità di Barack Obama?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Qual è il ruolo di Barack Obama nella storia?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Chi è l'ex presidente Obama?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
l'ex presidente del america?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Cosa ha fatto Obama nella sua vita?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Chi è Barack Obama nella politica?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
Qual è il contributo di Barack Obama?,obama,"Barack Obama è stato il 44° presidente degli Stati Uniti, eletto nel 2008 e nel 2012. È noto per la riforma sanitaria e per aver vinto il Premio Nobel per la pace nel 2009."
